,Name,A ending?,"VowelEnding? (a, e, i, o, u,y)","Fricative ending? (f,v,th,s,z,sh,ch,dge)","Sonorant ending? (m,n,ng,l,r)","Plosive ending? (p,b,t,d,k,g)","1st letter vowel? (a, e, i, o, u)","1st letter fricative? (f,v,th,s,z,sh,ch,j)","1st letter sonorant? (m,n,l,r,w,y)","1st letter plosive? (p,b,t,d,k,g)",# of letters,Front Vowels,Back Vowels,"Total # of vowels (a, e, i, o, u)","# of fricatives (f,v,th,s,z,sh,ch,j)","Total # of sonorants (m,n,l,r,w,y)","Total # of plosives  (p,b,t,d,k,g)",Gender,Category
783,stuller,0,0,0,1,0,0,1,0,0,7,1,1,2,1,3,1,0,POWER_TOOLS
784,sunjoe,0,1,0,0,0,0,1,0,0,6,1,2,3,2,1,0,0,POWER_TOOLS
785,tapebuddy,0,1,0,0,0,0,0,0,1,9,2,1,3,0,1,5,1,POWER_TOOLS
786,tekton,0,0,0,1,0,0,0,0,1,6,1,1,2,0,1,3,0,POWER_TOOLS
787,terrco,0,1,0,0,0,0,0,0,1,6,1,1,2,0,2,1,0,POWER_TOOLS
788,trigjig,0,0,0,0,1,0,0,0,1,7,2,0,2,1,1,3,0,POWER_TOOLS
789,triton,0,0,0,1,0,0,0,0,1,6,1,1,2,0,2,2,0,POWER_TOOLS
790,unicam,0,0,0,1,0,1,0,0,0,6,1,1,3,0,2,0,0,POWER_TOOLS
791,vallorbe,0,1,0,0,0,0,1,0,0,8,1,1,3,1,3,1,1,POWER_TOOLS
792,versatility,0,1,0,0,0,0,1,0,0,11,4,0,4,2,3,2,1,POWER_TOOLS
793,victorinox,0,0,0,0,0,0,1,0,0,10,2,2,4,1,2,1,1,POWER_TOOLS
794,wachs,0,0,1,0,0,0,0,1,0,5,0,0,1,2,1,0,0,POWER_TOOLS
795,wagner,0,0,0,1,0,0,0,1,0,6,1,0,2,0,3,1,0,POWER_TOOLS
796,westcott,0,0,0,0,1,0,0,1,0,8,1,1,2,1,1,3,0,POWER_TOOLS
797,wiss,0,0,1,0,0,0,0,1,0,4,1,0,1,2,1,0,0,POWER_TOOLS
798,wolff,0,0,1,0,0,0,0,1,0,5,0,1,1,2,2,0,0,POWER_TOOLS
799,woodcraft,0,0,0,0,1,0,0,1,0,9,0,1,3,1,2,2,0,POWER_TOOLS
800,woodhaven,0,0,0,1,0,0,0,1,0,9,1,1,4,1,2,1,0,POWER_TOOLS
801,worx,0,0,0,0,0,0,0,1,0,4,0,1,1,0,2,0,0,POWER_TOOLS
802,yamaha,1,1,0,0,0,0,0,1,0,6,0,0,3,0,2,0,1,POWER_TOOLS
803,zago,0,1,0,0,0,0,1,0,0,4,0,1,2,1,0,1,0,POWER_TOOLS
804,advueu,0,1,0,0,0,1,0,0,0,6,1,2,4,1,0,1,0,TELEVISIONS
805,clearview,0,0,0,0,0,0,0,0,0,9,2,0,4,1,3,0,1,TELEVISIONS
806,dealertv,0,0,1,0,0,0,0,0,1,8,2,0,3,1,2,2,0,TELEVISIONS
807,ericsson,0,0,0,1,0,1,0,0,0,8,2,1,3,2,2,0,0,TELEVISIONS
808,hisense,0,1,0,0,0,0,0,0,0,7,3,0,3,2,1,0,1,TELEVISIONS
809,lg,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,1,0,TELEVISIONS
810,panasonic,0,0,0,0,0,0,0,0,1,9,1,1,4,1,2,1,1,TELEVISIONS
811,philips,0,0,1,0,0,0,0,0,1,7,2,0,2,1,1,2,0,TELEVISIONS
812,planar,0,0,0,1,0,0,0,0,1,6,0,0,2,0,3,1,0,TELEVISIONS
813,rca,1,1,0,0,0,0,0,1,0,3,0,0,1,0,1,0,1,TELEVISIONS
814,samsung,0,0,0,1,1,0,1,0,0,7,0,1,2,2,2,1,0,TELEVISIONS
815,seiki,0,1,0,0,0,0,1,0,0,5,2,0,3,1,0,1,1,TELEVISIONS
816,skyvue,0,1,0,0,0,0,1,0,0,6,1,1,2,2,1,1,0,TELEVISIONS
817,sony,0,1,0,0,0,0,1,0,0,4,1,1,1,1,2,0,1,TELEVISIONS
818,sunbritetv,0,0,1,0,0,0,1,0,0,10,2,1,3,2,2,3,0,TELEVISIONS
819,sylvania,1,1,0,0,0,0,1,0,0,8,1,0,3,2,3,0,1,TELEVISIONS
820,tcl,0,0,0,1,0,0,0,0,1,3,0,0,0,0,1,1,0,TELEVISIONS
821,toshiba,1,1,0,0,0,0,0,0,1,7,1,1,3,1,0,2,1,TELEVISIONS
822,viewsonic,0,0,0,0,0,0,1,0,0,9,2,1,4,2,2,0,0,TELEVISIONS
823,vizio,0,1,0,0,0,0,1,0,0,5,2,1,3,2,0,0,1,TELEVISIONS
824,westinghouse,0,1,0,0,0,0,0,1,0,12,3,1,5,2,2,2,1,TELEVISIONS
825,adi,0,1,0,0,0,1,0,0,0,3,1,0,2,0,0,1,1,WATCHES
826,adidas,0,0,1,0,0,1,0,0,0,6,1,0,3,1,0,2,0,WATCHES
827,alor,0,0,0,1,0,1,0,0,0,4,0,1,2,0,2,0,0,WATCHES
828,alpina,1,1,0,0,0,1,0,0,0,6,1,0,3,0,2,1,1,WATCHES
829,anonimo,0,1,0,0,0,1,0,0,0,7,1,2,4,0,3,0,1,WATCHES
830,arbutus,0,0,1,0,0,1,0,0,0,7,0,2,3,1,1,2,0,WATCHES
831,armitron,0,0,0,1,0,1,0,0,0,8,1,1,3,0,4,1,0,WATCHES
832,armogan,0,0,0,1,0,1,0,0,0,7,0,1,3,0,3,1,0,WATCHES
833,azad,0,0,0,0,1,1,0,0,0,4,0,0,2,1,0,1,0,WATCHES
834,belair,0,0,0,1,0,0,0,0,1,6,2,0,3,0,2,1,0,WATCHES
835,belkin,0,0,0,1,0,0,0,0,1,6,2,0,2,0,2,2,0,WATCHES
836,benrus,0,0,1,0,0,0,0,0,1,6,1,1,2,1,2,1,0,WATCHES
837,bering,0,0,0,1,1,0,0,0,1,6,2,0,2,0,2,2,0,WATCHES
838,bianci,0,1,0,0,0,0,0,0,1,6,2,0,3,0,1,1,1,WATCHES
839,bijan,0,0,0,1,0,0,0,0,1,5,1,0,2,1,1,1,0,WATCHES
840,blancpain,0,0,0,1,0,0,0,0,1,9,1,0,3,0,3,2,0,WATCHES
841,boccia,1,1,0,0,0,0,0,0,1,6,1,1,3,0,0,1,1,WATCHES
842,bomberg,0,0,0,0,1,0,0,0,1,7,1,1,2,0,2,3,0,WATCHES
843,bovet,0,0,0,0,1,0,0,0,1,5,1,1,2,1,0,2,0,WATCHES
844,boyard,0,0,0,0,1,0,0,0,1,6,0,1,2,0,2,2,0,WATCHES
845,brathwait,0,0,0,0,1,0,0,0,1,9,1,0,3,1,2,3,0,WATCHES
846,breda,1,1,0,0,0,0,0,0,1,5,1,0,2,0,1,2,1,WATCHES
847,breguet,0,0,0,0,1,0,0,0,1,7,2,1,3,0,1,3,0,WATCHES
848,breitling,0,0,0,1,1,0,0,0,1,9,2,0,3,0,3,3,0,WATCHES
849,bremont,0,0,0,0,1,0,0,0,1,7,1,1,2,0,3,2,0,WATCHES
850,buler,0,0,0,1,0,0,0,0,1,5,1,1,2,0,2,1,0,WATCHES
851,bulgari,0,1,0,0,0,0,0,0,1,7,1,1,3,0,2,2,0,WATCHES
852,bulova,1,1,0,0,0,0,0,0,1,6,0,2,3,1,1,1,1,WATCHES
853,buoyy,0,1,0,0,0,0,0,0,1,5,1,2,2,0,2,1,0,WATCHES
854,butler,0,0,0,1,0,0,0,0,1,6,1,1,2,0,2,2,0,WATCHES
855,cadence,0,1,0,0,0,0,0,0,0,7,2,0,3,0,1,1,1,WATCHES
856,caravelle,0,1,0,0,0,0,0,0,0,9,2,0,4,1,3,0,1,WATCHES
857,cartier,0,0,0,1,0,0,0,0,0,7,1,0,3,0,2,1,0,WATCHES
858,casio,0,1,0,0,0,0,0,0,0,5,1,1,3,1,0,0,0,WATCHES
859,charriol,0,0,0,1,0,0,1,0,0,8,1,1,3,1,3,0,0,WATCHES
860,chopard,0,0,0,0,1,0,1,0,0,7,0,1,2,1,1,2,0,WATCHES
861,chronoswiss,0,0,1,0,0,0,1,0,0,11,1,2,3,4,3,0,0,WATCHES
862,converse,0,1,0,0,0,0,0,0,0,8,2,1,3,2,2,0,1,WATCHES
863,cortese,0,1,0,0,0,0,0,0,0,7,2,1,3,1,1,1,1,WATCHES
864,corum,0,0,0,1,0,0,0,0,0,5,0,2,2,0,2,0,0,WATCHES
865,cromwell,0,0,0,1,0,0,0,0,0,8,1,1,2,0,5,0,0,WATCHES
866,dewitt,0,0,0,0,1,0,0,0,1,6,2,0,2,0,1,3,0,WATCHES
867,didofa,1,1,0,0,0,0,0,0,1,6,1,1,3,1,0,2,1,WATCHES
868,diesel,0,0,0,1,0,0,0,0,1,6,2,0,3,1,1,1,0,WATCHES
869,dior,0,0,0,1,0,0,0,0,1,4,1,1,2,0,1,1,0,WATCHES
870,eone,0,1,0,0,0,1,0,0,0,4,2,1,3,0,1,0,0,WATCHES
871,erroyl,0,0,0,1,0,1,0,0,0,6,1,1,2,0,4,0,0,WATCHES
872,eterna,1,1,0,0,0,1,0,0,0,6,2,0,3,0,2,1,1,WATCHES
873,faberge,0,1,0,0,0,0,1,0,0,7,2,0,3,1,1,2,1,WATCHES
874,fendi,0,1,0,0,0,0,1,0,0,5,2,0,2,1,1,1,1,WATCHES
875,fifth,0,0,1,0,0,0,1,0,0,5,1,0,1,3,0,1,0,WATCHES
876,fiyta,1,1,0,0,0,0,1,0,0,5,1,0,2,1,1,1,1,WATCHES
877,freestyle,0,1,0,0,0,0,1,0,0,9,2,0,3,2,3,1,1,WATCHES
878,gamiss,0,0,1,0,0,0,0,0,1,6,1,0,2,2,1,1,0,WATCHES
879,garmin,0,0,0,1,0,0,0,0,1,6,1,0,2,0,3,1,0,WATCHES
880,glashutte,0,1,0,0,0,0,0,0,1,9,1,1,3,1,1,3,0,WATCHES
881,graff,0,0,1,0,0,0,0,0,1,5,0,0,1,2,1,1,0,WATCHES
882,graham,0,0,0,1,0,0,0,0,1,6,0,0,2,0,2,1,0,WATCHES
883,greyhours,0,0,1,0,0,0,0,0,1,9,1,1,3,1,3,1,0,WATCHES
884,gucci,0,1,0,0,0,0,0,0,1,5,1,1,2,0,0,1,0,WATCHES
885,hamilton,0,0,0,1,0,0,0,0,0,8,1,1,3,0,3,1,0,WATCHES
886,havana,1,1,0,0,0,0,0,0,0,6,0,0,3,1,1,0,1,WATCHES
887,hermes,0,0,1,0,0,0,0,0,0,6,2,0,2,1,2,0,0,WATCHES
888,huawei,0,1,0,0,0,0,0,0,0,6,1,1,4,0,1,0,1,WATCHES
889,hublot,0,0,0,0,1,0,0,0,0,6,0,2,2,0,1,2,0,WATCHES
890,hypergrand,0,0,0,0,1,0,0,0,0,10,1,0,2,0,4,3,0,WATCHES
891,hyt,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,0,WATCHES
892,ibeat,0,0,0,0,1,1,0,0,0,5,2,0,3,0,0,2,0,WATCHES
893,invicta,1,1,0,0,0,1,0,0,0,7,2,0,3,1,1,1,1,WATCHES
894,jord,0,0,0,0,1,0,1,0,0,4,0,1,1,1,1,1,0,WATCHES
895,kompass,0,0,1,0,0,0,0,0,1,7,0,1,2,2,1,2,0,WATCHES
896,kronaby,0,1,0,0,0,0,0,0,1,7,1,1,2,0,3,2,1,WATCHES
897,kyboe,0,1,0,0,0,0,0,0,1,5,1,1,2,0,1,2,0,WATCHES
898,lacoste,0,1,0,0,0,0,0,1,0,7,1,1,3,1,1,1,1,WATCHES
899,lapizta,1,1,0,0,0,0,0,1,0,7,1,0,3,1,1,2,1,WATCHES
900,longines,0,0,1,0,0,0,0,1,0,8,2,1,3,1,3,1,0,WATCHES
901,luminox,0,0,0,0,0,0,0,1,0,7,1,2,3,0,3,0,0,WATCHES
902,lunowear,0,0,0,1,0,0,0,1,0,8,1,2,4,0,4,0,0,WATCHES
903,martenero,0,1,0,0,0,0,0,1,0,9,2,1,4,0,4,1,1,WATCHES
904,marvin,0,0,0,1,0,0,0,1,0,6,1,0,2,1,3,0,0,WATCHES
905,medota,1,1,0,0,0,0,0,1,0,6,1,1,3,0,1,2,1,WATCHES
906,megir,0,0,0,1,0,0,0,1,0,5,2,0,2,0,2,1,0,WATCHES
907,meridio,0,1,0,0,0,0,0,1,0,7,3,1,4,0,2,1,1,WATCHES
908,michele,0,1,0,0,0,0,0,1,0,7,3,0,3,1,2,0,1,WATCHES
909,mido,0,1,0,0,0,0,0,1,0,4,1,1,2,0,1,1,0,WATCHES
910,mistura,1,1,0,0,0,0,0,1,0,7,1,1,3,1,2,1,1,WATCHES
911,montblanc,0,0,0,0,0,0,0,1,0,9,0,1,2,0,4,2,0,WATCHES
912,movado,0,1,0,0,0,0,0,1,0,6,0,2,3,1,1,1,1,WATCHES
913,mtm,0,0,0,1,0,0,0,1,0,3,0,0,0,0,2,1,0,WATCHES
914,mulco,0,1,0,0,0,0,0,1,0,5,0,2,2,0,2,0,0,WATCHES
915,mvmt,0,0,0,0,1,0,0,1,0,4,0,0,0,1,2,1,0,WATCHES
916,nacken,0,0,0,1,0,0,0,1,0,6,1,0,2,0,2,1,0,WATCHES
917,naviforce,0,1,0,0,0,0,0,1,0,9,2,1,4,2,2,0,1,WATCHES
918,neita,1,1,0,0,0,0,0,1,0,5,1,0,3,0,1,1,1,WATCHES
919,newgate,0,1,0,0,0,0,0,1,0,7,2,0,3,0,2,2,1,WATCHES
920,nike,0,1,0,0,0,0,0,1,0,4,2,0,2,0,1,1,1,WATCHES
921,nite,0,1,0,0,0,0,0,1,0,4,2,0,2,0,1,1,1,WATCHES
922,nixon,0,0,0,1,0,0,0,1,0,5,1,1,2,0,2,0,0,WATCHES
923,nomad,0,0,0,0,1,0,0,1,0,5,0,1,2,0,2,1,0,WATCHES
924,oleksynprannyk,0,0,0,0,1,1,0,0,0,14,1,1,3,1,7,3,0,WATCHES
925,olio,0,1,0,0,0,1,0,0,0,4,1,2,3,0,1,0,0,WATCHES
926,omega,1,1,0,0,0,1,0,0,0,5,1,1,3,0,1,1,1,WATCHES
927,orient,0,0,0,0,1,1,0,0,0,6,1,1,3,0,2,1,0,WATCHES
928,oris,0,0,1,0,0,1,0,0,0,4,1,1,2,1,1,0,0,WATCHES
929,pagare,0,1,0,0,0,0,0,0,1,6,1,0,3,0,1,2,1,WATCHES
930,panerai,0,1,0,0,0,0,0,0,1,7,2,0,4,0,2,1,1,WATCHES
931,peugeot,0,0,0,0,1,0,0,0,1,7,2,2,4,0,0,3,0,WATCHES
932,phillips,0,0,1,0,0,0,0,0,1,8,2,0,2,1,2,2,0,WATCHES
933,piaget,0,0,0,0,1,0,0,0,1,6,2,0,3,0,0,3,0,WATCHES
934,picono,0,1,0,0,0,0,0,0,1,6,1,2,3,0,1,1,1,WATCHES
935,polar,0,0,0,1,0,0,0,0,1,5,0,1,2,0,2,1,0,WATCHES
936,pulsar,0,0,0,1,0,0,0,0,1,6,0,1,2,1,2,1,0,WATCHES
937,rado,0,1,0,0,0,0,0,1,0,4,0,1,2,0,1,1,0,WATCHES
938,rapport,0,0,0,0,1,0,0,1,0,7,0,1,2,0,2,3,0,WATCHES
939,ritot,0,0,0,0,1,0,0,1,0,5,1,1,2,0,1,2,0,WATCHES
940,rockwell,0,0,0,1,0,0,0,1,0,8,1,1,2,0,4,1,0,WATCHES
941,rolex,0,0,0,0,0,0,0,1,0,5,1,1,2,0,2,0,0,WATCHES
942,rosefield,0,0,0,0,1,0,0,1,0,9,2,1,4,2,2,1,0,WATCHES
943,rosemont,0,0,0,0,1,0,0,1,0,8,1,2,3,1,3,1,0,WATCHES
944,royalmarine,0,1,0,0,0,0,0,1,0,11,2,1,5,0,6,0,1,WATCHES
945,seiko,0,1,0,0,0,0,1,0,0,5,1,1,3,1,0,1,1,WATCHES
946,sevenfriday,0,1,0,0,0,0,1,0,0,11,4,0,4,3,3,1,1,WATCHES
947,shark,0,0,0,0,1,0,1,0,0,5,0,0,1,1,1,1,0,WATCHES
948,shinola,1,1,0,0,0,0,1,0,0,7,1,1,3,1,2,0,1,WATCHES
949,sisu,0,1,0,0,0,0,1,0,0,4,1,1,2,2,0,0,1,WATCHES
950,skagen,0,0,0,1,0,0,1,0,0,6,1,0,2,1,1,2,0,WATCHES
951,stauer,0,0,0,1,0,0,1,0,0,6,1,1,3,1,1,1,0,WATCHES
952,suunto,0,1,0,0,0,0,1,0,0,6,0,3,3,1,1,1,1,WATCHES
953,svstem,0,0,0,1,0,0,1,0,0,6,1,0,1,3,1,1,0,WATCHES
954,swarovski,0,1,0,0,0,0,1,0,0,9,1,1,3,3,2,1,1,WATCHES
955,swatch,0,0,1,0,0,0,1,0,0,6,0,0,1,2,1,1,0,WATCHES
956,swiss,0,0,1,0,0,0,1,0,0,5,1,0,1,3,1,0,0,WATCHES
957,swisstime,0,1,0,0,0,0,1,0,0,9,3,0,3,3,2,1,1,WATCHES
958,szanto,0,1,0,0,0,0,1,0,0,6,0,1,2,2,1,1,0,WATCHES
959,tayroc,0,0,0,0,0,0,0,0,1,6,0,1,2,0,2,1,1,WATCHES
960,technomarine,0,1,0,0,0,0,0,0,1,12,3,1,5,1,4,1,1,WATCHES
961,teno,0,1,0,0,0,0,0,0,1,4,1,1,2,0,1,1,0,WATCHES
962,tiffany,0,1,0,0,0,0,0,0,1,7,2,0,2,2,2,1,1,WATCHES
963,timex,0,0,0,0,0,0,0,0,1,5,2,0,2,0,1,1,0,WATCHES
964,tissot,0,0,0,0,1,0,0,0,1,6,1,1,2,2,0,2,0,WATCHES
965,titan,0,0,0,1,0,0,0,0,1,5,1,0,2,0,1,2,0,WATCHES
966,toptiertimer,0,0,0,1,0,0,0,0,1,12,3,1,5,0,3,4,0,WATCHES
967,torgoen,0,0,0,1,0,0,0,0,1,7,1,2,3,0,2,2,0,WATCHES
968,triarrows,0,0,1,0,0,0,0,0,1,9,1,1,3,1,4,1,0,WATCHES
969,truwood,0,0,0,0,1,0,0,0,1,7,0,2,3,0,2,2,0,WATCHES
970,tudor,0,0,0,1,0,0,0,0,1,5,0,2,2,0,1,2,0,WATCHES
971,versace,0,1,0,0,0,0,1,0,0,7,2,0,3,2,1,0,1,WATCHES
972,victorinox,0,0,0,0,0,0,1,0,0,10,2,2,4,1,2,1,1,WATCHES
973,void,0,0,0,0,1,0,1,0,0,4,1,1,2,1,0,1,0,WATCHES
974,wewood,0,0,0,0,1,0,0,1,0,6,1,1,3,0,2,1,0,WATCHES
975,withings,0,0,1,0,0,0,0,1,0,8,2,0,2,2,2,2,0,WATCHES
976,wryst,0,0,0,0,1,0,0,1,0,5,0,0,0,1,3,1,0,WATCHES
977,xetum,0,0,0,1,0,0,0,0,0,5,1,1,2,0,1,1,0,WATCHES
978,zenith,0,0,1,0,0,0,1,0,0,6,2,0,2,2,1,1,0,WATCHES
979,adea,1,1,0,0,0,1,0,0,0,4,1,0,3,0,0,1,1,WOMENS_UNDERWEAR
980,aerie,0,1,0,0,0,1,0,0,0,5,2,0,4,0,1,0,1,WOMENS_UNDERWEAR
981,confitex,0,0,0,0,0,0,0,0,0,8,2,1,3,1,1,1,1,WOMENS_UNDERWEAR
982,foxers,0,0,1,0,0,0,1,0,0,6,1,1,2,2,1,0,0,WOMENS_UNDERWEAR
983,hanes,0,0,1,0,0,0,0,0,0,5,1,0,2,1,1,0,0,WOMENS_UNDERWEAR
984,hanro,0,1,0,0,0,0,0,0,0,5,0,1,2,0,2,0,0,WOMENS_UNDERWEAR
985,intimissimi,0,1,0,0,0,1,0,0,0,11,5,0,5,2,3,1,1,WOMENS_UNDERWEAR
986,knixteen,0,0,0,1,0,0,0,0,1,8,2,0,3,0,2,2,0,WOMENS_UNDERWEAR
987,knixwear,0,0,0,1,0,0,0,0,1,8,2,0,3,0,3,1,0,WOMENS_UNDERWEAR
988,leonisa,1,1,0,0,0,0,0,1,0,7,2,1,4,1,2,0,1,WOMENS_UNDERWEAR
989,natori,0,1,0,0,0,0,0,1,0,6,1,1,3,0,2,1,1,WOMENS_UNDERWEAR
990,oscalito,0,1,0,0,0,1,0,0,0,8,1,2,4,1,1,1,0,WOMENS_UNDERWEAR
991,sokoloff,0,0,1,0,0,0,1,0,0,8,0,3,3,3,1,1,0,WOMENS_UNDERWEAR
992,soma,1,1,0,0,0,0,1,0,0,4,0,1,2,1,1,0,1,WOMENS_UNDERWEAR
993,tani,0,1,0,0,0,0,0,0,1,4,1,0,2,0,1,1,1,WOMENS_UNDERWEAR
994,thinx,0,0,0,0,0,0,1,0,1,5,1,0,1,1,1,1,0,WOMENS_UNDERWEAR
995,tomboyx,0,0,0,0,0,0,0,0,1,7,0,2,2,0,2,2,0,WOMENS_UNDERWEAR
996,valentine,0,1,0,0,0,0,1,0,0,9,3,0,4,1,3,1,1,WOMENS_UNDERWEAR
997,warners,0,0,1,0,0,0,0,1,0,7,1,0,2,1,4,0,1,WOMENS_UNDERWEAR
998,breyers,0,0,1,0,0,0,0,0,1,7,2,0,2,1,3,1,0,YOGURT
999,cabot,0,0,0,0,1,0,0,0,0,5,0,1,2,0,0,2,0,YOGURT
1000,cacique,0,1,0,0,0,0,0,0,0,7,2,1,4,0,0,0,1,YOGURT
1001,chobani,0,1,0,0,0,0,1,0,0,7,1,1,3,1,1,1,1,YOGURT
1002,clover,0,0,0,1,0,0,0,0,0,6,1,1,2,1,2,0,0,YOGURT
1003,cocobella,1,1,0,0,0,0,0,0,0,9,1,2,4,0,2,1,1,YOGURT
1004,dannon,0,0,0,1,0,0,0,0,1,6,0,1,2,0,3,1,0,YOGURT
1005,danone,0,1,0,0,0,0,0,0,1,6,1,1,3,0,2,1,1,YOGURT
1006,danonino,0,1,0,0,0,0,0,0,1,8,1,2,4,0,3,1,0,YOGURT
1007,ehrmann,0,0,0,1,0,1,0,0,0,7,1,0,2,0,4,0,1,YOGURT
1008,ellenos,0,0,1,0,0,1,0,0,0,7,2,1,3,1,3,0,0,YOGURT
1009,kabrita,1,1,0,0,0,0,0,0,1,7,1,0,3,0,1,3,1,YOGURT
1010,lala,1,1,0,0,0,0,0,1,0,4,0,0,2,0,2,0,1,YOGURT
1011,liberte,0,1,0,0,0,0,0,1,0,7,3,0,3,0,2,2,1,YOGURT
1012,muller,0,0,0,1,0,0,0,1,0,6,1,1,2,0,4,0,0,YOGURT
1013,nancys,0,0,1,0,0,0,0,1,0,6,0,0,1,1,3,0,0,YOGURT
1014,noosa,1,1,0,0,0,0,0,1,0,5,0,1,3,1,1,0,1,YOGURT
1015,siggis,0,0,1,0,0,0,1,0,0,6,2,0,2,2,0,2,0,YOGURT
1016,tillamook,0,0,0,0,1,0,0,0,1,9,1,1,4,0,3,2,0,YOGURT
1017,tnuva,1,1,0,0,0,0,0,0,1,5,0,1,2,1,1,1,1,YOGURT
1018,yoatz,0,0,1,0,0,0,0,1,0,5,0,1,2,1,1,1,0,YOGURT
1019,yopa,1,1,0,0,0,0,0,1,0,4,0,1,2,0,1,1,1,YOGURT
1020,yoplait,0,0,0,0,1,0,0,1,0,7,1,1,3,0,2,2,0,YOGURT
